,fast_period,slow_period,sig_period,return,dd,sharpe
304,8,39,7,-30.67,16.86,-7.00
305,8,39,8,-26.99,14.66,-7.08
306,8,39,9,-24.38,13.14,-3.76
307,8,39,10,-22.62,13.32,-2.50
308,8,39,11,-18.64,13.49,-1.43
309,8,39,12,-17.17,13.45,-1.20
310,8,39,13,-17.17,13.45,-1.20
311,8,39,14,-17.17,13.45,-1.20
312,8,40,7,-30.67,16.86,-7.00
313,8,40,8,-26.99,14.66,-7.08
314,8,40,9,-24.38,13.14,-3.76
315,8,40,10,-22.76,12.20,-2.84
316,8,40,11,-17.00,13.44,-1.18
317,8,40,12,-17.17,13.45,-1.20
318,8,40,13,-17.17,13.45,-1.20
319,8,40,14,-17.17,13.45,-1.20
320,9,21,7,-38.75,23.63,-9.50
321,9,21,8,-38.75,23.63,-9.50
322,9,21,9,-32.56,19.83,-7.54
323,9,21,10,-31.84,19.40,-8.98
324,9,21,11,-28.43,15.51,-6.82
325,9,21,12,-21.73,11.62,-3.28
326,9,21,13,-26.31,14.26,-12.36
327,9,21,14,-25.69,14.22,-16.06
328,9,22,7,-38.13,23.24,-11.23
329,9,22,8,-33.28,20.26,-17.11
330,9,22,9,-33.50,20.39,-6.53
331,9,22,10,-30.47,16.73,-14.82
332,9,22,11,-26.40,14.32,-12.94
333,9,22,12,-26.31,14.26,-12.36
334,9,22,13,-25.69,14.22,-16.06
335,9,22,14,-25.69,14.22,-16.06
336,9,23,7,-37.45,22.81,-13.35
337,9,23,8,-27.24,16.70,-129.85
338,9,23,9,-32.83,18.17,-7.21
339,9,23,10,-30.04,16.48,-12.01
340,9,23,11,-28.47,15.54,-672.47
341,9,23,12,-26.31,14.26,-12.36
342,9,23,13,-25.69,14.22,-16.06
343,9,23,14,-22.24,12.24,-10.73
344,9,24,7,-36.94,22.50,-16.55
345,9,24,8,-30.05,16.48,-11.43
346,9,24,9,-30.47,16.73,-14.82
347,9,24,10,-30.04,16.48,-12.01
348,9,24,11,-28.47,15.54,-672.47
349,9,24,12,-25.69,14.22,-16.06
350,9,24,13,-25.69,14.22,-16.06
351,9,24,14,-22.24,12.24,-10.73
352,9,25,7,-39.87,22.61,-7.27
353,9,25,8,-32.35,17.88,-6.38
354,9,25,9,-30.47,16.73,-14.82
355,9,25,10,-31.97,17.65,-8.82
356,9,25,11,-27.86,15.49,-49.59
357,9,25,12,-25.69,14.22,-16.06
358,9,25,13,-22.24,12.24,-10.73
359,9,25,14,-22.24,12.24,-10.73
360,9,26,7,-35.16,19.62,-137.14
361,9,26,8,-32.35,17.88,-6.38
362,9,26,9,-30.04,16.48,-12.01
363,9,26,10,-29.42,16.42,-13.78
364,9,26,11,-27.86,15.49,-49.59
365,9,26,12,-25.69,14.22,-16.06
366,9,26,13,-22.24,12.24,-10.73
367,9,26,14,-22.24,12.24,-10.73
368,9,27,7,-31.50,17.36,-7.52
369,9,27,8,-32.35,17.88,-6.38
370,9,27,9,-30.04,16.48,-12.01
371,9,27,10,-29.42,16.42,-13.78
372,9,27,11,-27.86,15.49,-49.59
373,9,27,12,-25.85,14.31,-14.94
374,9,27,13,-22.24,12.24,-10.73
375,9,27,14,-22.24,12.24,-10.73
376,9,28,7,-31.50,17.36,-7.52
377,9,28,8,-32.01,17.67,-5.88
378,9,28,9,-31.97,17.65,-8.82
379,9,28,10,-29.42,16.42,-13.78
380,9,28,11,-27.86,15.49,-49.59
381,9,28,12,-22.24,12.24,-10.73
382,9,28,13,-22.24,12.24,-10.73
383,9,28,14,-22.24,12.24,-10.73
384,9,29,7,-33.24,18.42,-5.70
385,9,29,8,-32.01,17.67,-5.88
386,9,29,9,-29.42,16.42,-13.78
387,9,29,10,-29.42,16.42,-13.78
388,9,29,11,-27.86,15.49,-49.59
389,9,29,12,-24.37,13.46,-5.93
390,9,29,13,-22.24,12.24,-10.73
391,9,29,14,-18.55,11.23,-3.43
392,9,30,7,-33.24,18.42,-5.70
393,9,30,8,-33.63,18.67,-26.47
394,9,30,9,-29.42,16.42,-13.78
395,9,30,10,-29.42,16.42,-13.78
396,9,30,11,-28.01,15.58,-64.56
397,9,30,12,-24.37,13.46,-5.93
398,9,30,13,-18.27,11.21,-3.24
399,9,30,14,-18.27,11.21,-3.24
400,9,31,7,-31.36,17.27,-6.54
401,9,31,8,-33.63,18.67,-26.47
402,9,31,9,-30.02,16.47,-18.52
403,9,31,10,-29.42,16.42,-13.78
404,9,31,11,-29.57,16.51,-14.72
405,9,31,12,-20.31,12.43,-2.59
406,9,31,13,-20.31,12.43,-2.59
407,9,31,14,-18.08,11.20,-3.13
408,9,32,7,-31.36,17.27,-6.54
409,9,32,8,-33.63,18.67,-26.47
410,9,32,9,-30.02,16.47,-18.52
411,9,32,10,-25.77,13.94,-4.33
412,9,32,11,-22.23,13.50,-2.30
413,9,32,12,-20.31,12.43,-2.59
414,9,32,13,-20.31,12.43,-2.59
415,9,32,14,-20.31,12.43,-2.59
416,9,33,7,-31.36,17.27,-6.54
417,9,33,8,-31.46,17.34,-31.11
418,9,33,9,-25.77,13.94,-4.33
419,9,33,10,-25.77,13.94,-4.33
420,9,33,11,-22.23,13.50,-2.30
421,9,33,12,-20.31,12.43,-2.59
422,9,33,13,-20.31,12.43,-2.59
423,9,33,14,-20.31,12.43,-2.59
424,9,34,7,-35.24,19.66,-57.20
425,9,34,8,-27.48,14.95,-8.08
426,9,34,9,-25.77,13.94,-4.33
427,9,34,10,-25.77,13.94,-4.33
428,9,34,11,-22.23,13.50,-2.30
429,9,34,12,-23.12,13.48,-2.67
430,9,34,13,-18.94,12.48,-2.06
431,9,34,14,-21.35,12.50,-3.04
432,9,35,7,-29.03,15.87,-4.97
433,9,35,8,-24.38,13.14,-3.76
434,9,35,9,-27.97,15.24,-7.19
435,9,35,10,-25.77,13.94,-4.33
436,9,35,11,-23.12,13.48,-2.67
437,9,35,12,-20.71,13.44,-1.90
438,9,35,13,-21.35,12.50,-3.04
439,9,35,14,-19.66,12.38,-2.35
440,9,36,7,-29.03,15.87,-4.97
441,9,36,8,-24.38,13.14,-3.76
442,9,36,9,-24.89,13.43,-3.57
443,9,36,10,-22.86,13.46,-2.58
444,9,36,11,-20.71,13.44,-1.90
445,9,36,12,-23.09,13.48,-2.66
446,9,36,13,-23.09,13.48,-2.66
447,9,36,14,-16.35,13.53,-1.07
448,9,37,7,-29.03,15.87,-4.97
449,9,37,8,-24.38,13.14,-3.76
450,9,37,9,-24.89,13.43,-3.57
451,9,37,10,-22.69,13.45,-2.52
452,9,37,11,-23.09,13.48,-2.66
453,9,37,12,-23.09,13.48,-2.66
454,9,37,13,-16.35,13.53,-1.07
455,9,37,14,-16.35,13.53,-1.07
456,9,38,7,-29.03,15.87,-4.97
457,9,38,8,-24.38,13.14,-3.76
458,9,38,9,-24.89,13.43,-3.57
459,9,38,10,-22.69,13.45,-2.52
460,9,38,11,-23.09,13.48,-2.66
461,9,38,12,-16.35,13.53,-1.07
462,9,38,13,-14.36,13.45,-0.85
463,9,38,14,-17.17,13.45,-1.20
464,9,39,7,-29.03,15.87,-4.97
465,9,39,8,-24.38,13.14,-3.76
466,9,39,9,-22.62,13.32,-2.50
467,9,39,10,-22.69,13.45,-2.52
468,9,39,11,-13.60,13.53,-0.77
469,9,39,12,-17.17,13.45,-1.20
470,9,39,13,-17.17,13.45,-1.20
471,9,39,14,-18.32,13.59,-1.38
472,9,40,7,-26.99,14.66,-7.08
473,9,40,8,-24.38,13.14,-3.76
474,9,40,9,-24.89,13.43,-3.57
475,9,40,10,-17.00,13.44,-1.18
476,9,40,11,-17.17,13.45,-1.20
477,9,40,12,-17.17,13.45,-1.20
478,9,40,13,-17.17,13.45,-1.20
479,9,40,14,-18.32,13.59,-1.38
480,10,21,7,-37.28,22.71,-13.99
481,10,21,8,-30.96,18.88,-12.48
482,10,21,9,-30.19,18.43,-16.58
483,10,21,10,-28.32,17.33,-7.53
