,fast_base,slow_base,min_period_fast,max_period_fast,min_period_slow,max_period_slow,return,dd,sharpe
329,5,21,3,15,15,45,-35.65,24.18,-1.77
330,5,21,3,20,15,25,-9.88,18.10,-1.05
331,5,21,3,20,15,30,-18.16,16.28,-4.85
332,5,21,3,20,15,35,-23.39,20.56,-2.79
333,5,21,3,20,15,40,-25.81,22.63,-1.90
334,5,21,3,20,15,45,-39.90,24.14,-11.35
335,5,21,3,25,15,25,-5.90,18.64,-0.47
336,5,21,3,25,15,30,-14.54,16.85,-1.65
337,5,21,3,25,15,35,-20.06,21.13,-1.46
338,5,21,3,25,15,40,-24.66,23.16,-1.46
339,5,21,3,25,15,45,-39.88,24.63,-7.40
340,5,21,3,10,20,25,-25.60,25.26,-8.36
341,5,21,3,10,20,30,-33.61,24.26,-17.84
342,5,21,3,10,20,35,-38.18,28.32,-13.23
343,5,21,3,10,20,40,-37.60,30.17,-3.56
344,5,21,3,10,20,45,-51.00,31.55,-86.33
345,5,21,3,15,20,25,-18.12,24.05,-4.56
346,5,21,3,15,20,30,-25.75,22.64,-2.52
347,5,21,3,15,20,35,-25.82,24.14,-2.50
348,5,21,3,15,20,40,-21.28,24.21,-3.59
349,5,21,3,15,20,45,-35.65,24.18,-1.77
350,5,21,3,20,20,25,-9.88,18.10,-1.05
351,5,21,3,20,20,30,-18.69,16.55,-4.42
352,5,21,3,20,20,35,-23.91,20.83,-2.70
353,5,21,3,20,20,40,-26.32,22.90,-1.87
354,5,21,3,20,20,45,-40.25,24.35,-10.34
355,5,21,3,25,20,25,-5.90,18.64,-0.47
356,5,21,3,25,20,30,-15.09,17.12,-1.62
357,5,21,3,25,20,35,-20.58,21.39,-1.44
358,5,21,3,25,20,40,-25.17,23.42,-1.45
359,5,21,3,25,20,45,-40.22,24.85,-6.98
360,5,21,4,10,10,25,-20.44,24.96,-9.16
361,5,21,4,10,10,30,-27.94,24.26,-3.61
362,5,21,4,10,10,35,-28.09,25.78,-3.56
363,5,21,4,10,10,40,-26.24,25.80,-4.36
364,5,21,4,10,10,45,-37.53,25.76,-2.16
365,5,21,4,15,10,25,-16.30,22.70,-3.89
366,5,21,4,15,10,30,-24.18,22.08,-2.45
367,5,21,4,15,10,35,-24.49,23.79,-2.48
368,5,21,4,15,10,40,-22.54,23.81,-2.83
369,5,21,4,15,10,45,-34.39,23.75,-1.75
370,5,21,4,20,10,25,-2.52,15.62,-1.35
