,pfast,pmid,pslow,return,dd,sharpe
381,4,18,22,-56.65,48.80,-0.88
382,4,18,23,-53.53,46.76,-0.83
383,4,18,24,-51.34,45.34,-0.80
384,4,18,25,-33.97,34.61,-0.73
385,4,18,26,-49.60,43.30,-0.83
386,4,18,27,-53.85,46.36,-0.88
387,4,18,28,-56.65,48.60,-0.89
388,4,18,29,21.67,17.67,0.47
389,4,18,30,23.89,17.30,0.52
390,4,18,31,25.15,17.05,0.56
391,4,18,32,-16.88,16.93,-0.69
392,4,18,33,-17.11,17.08,-0.69
393,4,18,34,-16.86,16.69,-0.70
394,4,18,35,-16.49,16.10,-0.72
395,4,18,36,-17.05,16.36,-0.73
396,4,18,37,-17.05,16.36,-0.73
397,4,18,38,-16.82,16.21,-0.73
398,4,18,39,-51.26,35.96,-1.70
399,4,18,40,-50.83,35.75,-1.66
400,4,19,21,15.14,11.13,1.12
401,4,19,22,28.30,15.40,1.08
402,4,19,23,-53.53,46.76,-0.83
403,4,19,24,-35.36,35.80,-0.73
404,4,19,25,-33.97,34.61,-0.73
405,4,19,26,-32.72,32.84,-0.76
406,4,19,27,-33.24,32.65,-0.81
407,4,19,28,-36.92,35.41,-0.84
408,4,19,29,21.67,17.67,0.47
409,4,19,30,23.89,17.30,0.52
410,4,19,31,-15.94,16.09,-0.70
411,4,19,32,-16.88,16.93,-0.69
412,4,19,33,-17.11,17.08,-0.69
413,4,19,34,-16.86,16.69,-0.70
414,4,19,35,-16.49,16.10,-0.72
415,4,19,36,-17.05,16.36,-0.73
416,4,19,37,-17.05,16.36,-0.73
417,4,19,38,-16.82,16.21,-0.73
418,4,19,39,-51.26,35.96,-1.70
419,4,19,40,-50.83,35.75,-1.66
420,4,20,21,15.14,11.13,1.12
421,4,20,22,34.29,15.76,1.78
422,4,20,23,29.68,15.98,2.37
423,4,20,24,-7.06,28.16,-0.41
424,4,20,25,-27.86,34.50,-0.69
425,4,20,26,-21.83,27.72,-0.94
426,4,20,27,-20.48,26.17,-1.00
427,4,20,28,35.96,13.55,1.20
428,4,20,29,39.65,13.76,1.29
429,4,20,30,-5.09,12.78,-0.52
430,4,20,31,-4.87,12.87,-0.50
431,4,20,32,-4.64,12.95,-0.48
432,4,20,33,-48.04,41.31,-1.09
433,4,20,34,-49.51,42.44,-1.11
434,4,20,35,-49.76,42.44,-1.13
