,fast_period,slow_period,sig_period,return,dd,sharpe
600,10,36,7,-17.43,21.03,-0.51
601,10,36,8,-19.02,21.03,-0.54
602,10,36,9,-20.19,21.78,-0.56
603,10,36,10,78.73,10.06,1.45
604,10,36,11,81.19,10.06,1.45
605,10,36,12,81.19,10.06,1.45
606,10,36,13,81.19,10.06,1.45
607,10,36,14,75.66,10.06,1.54
608,10,37,7,-17.43,21.03,-0.51
609,10,37,8,-19.02,21.03,-0.54
610,10,37,9,78.73,10.06,1.45
611,10,37,10,78.73,10.06,1.45
612,10,37,11,81.19,10.06,1.45
613,10,37,12,81.19,10.06,1.45
614,10,37,13,75.66,10.06,1.54
615,10,37,14,75.66,10.06,1.54
616,10,38,7,-19.02,21.03,-0.54
617,10,38,8,78.73,10.06,1.45
618,10,38,9,78.73,10.06,1.45
619,10,38,10,78.73,10.06,1.45
620,10,38,11,81.19,10.06,1.45
621,10,38,12,81.19,10.06,1.45
622,10,38,13,75.66,10.06,1.54
623,10,38,14,75.00,10.06,1.60
624,10,39,7,81.32,10.06,1.43
625,10,39,8,78.73,10.06,1.45
626,10,39,9,78.73,10.06,1.45
627,10,39,10,81.19,10.06,1.45
628,10,39,11,81.19,10.06,1.45
629,10,39,12,81.19,10.06,1.45
630,10,39,13,75.66,10.06,1.54
631,10,39,14,75.00,10.06,1.60
632,10,40,7,81.32,10.06,1.43
633,10,40,8,78.73,10.06,1.45
634,10,40,9,78.73,10.06,1.45
635,10,40,10,81.19,10.06,1.45
636,10,40,11,81.19,10.06,1.45
637,10,40,12,83.30,10.06,1.47
638,10,40,13,75.66,10.06,1.54
639,10,40,14,75.00,10.06,1.60
640,11,21,7,74.49,10.06,1.49
641,11,21,8,73.63,10.06,1.50
642,11,21,9,73.63,10.06,1.50
643,11,21,10,75.29,10.06,1.48
644,11,21,11,74.30,10.06,1.52
645,11,21,12,71.59,10.06,1.55
646,11,21,13,71.59,10.06,1.55
647,11,21,14,70.38,10.06,1.53
648,11,22,7,74.49,10.06,1.49
649,11,22,8,73.63,10.06,1.50
650,11,22,9,73.63,10.06,1.50
651,11,22,10,72.63,10.06,1.54
652,11,22,11,70.15,10.06,1.57
653,11,22,12,70.15,10.06,1.57
654,11,22,13,-18.61,21.78,-0.53
655,11,22,14,-20.19,21.78,-0.56
656,11,23,7,74.49,10.06,1.49
