,fast_period,slow_period,sig_period,return,dd,sharpe
553,10,30,8,-1.15,1.77,-4.65
554,10,30,9,-1.15,1.77,-4.65
555,10,30,10,-0.78,1.70,-6.45
556,10,30,11,-0.78,1.70,-6.45
557,10,30,12,-2.44,2.15,-2.69
558,10,30,13,-2.94,2.15,-3.70
559,10,30,14,-2.94,2.15,-3.70
560,10,31,7,-1.15,1.77,-4.65
561,10,31,8,-1.15,1.77,-4.65
562,10,31,9,-0.78,1.70,-6.45
563,10,31,10,-0.78,1.70,-6.45
564,10,31,11,-1.42,1.71,-3.93
565,10,31,12,-2.44,2.15,-2.69
566,10,31,13,-2.94,2.15,-3.70
567,10,31,14,-2.94,2.15,-3.70
568,10,32,7,-1.15,1.77,-4.65
569,10,32,8,-1.15,1.77,-4.65
570,10,32,9,-0.78,1.70,-6.45
571,10,32,10,-0.78,1.70,-6.45
572,10,32,11,-2.44,2.15,-2.69
573,10,32,12,-2.44,2.15,-2.69
574,10,32,13,-2.94,2.15,-3.70
575,10,32,14,-2.94,2.15,-3.70
576,10,33,7,-1.15,1.77,-4.65
577,10,33,8,-0.78,1.70,-6.45
578,10,33,9,-0.78,1.70,-6.45
579,10,33,10,-0.78,1.70,-6.45
580,10,33,11,-2.44,2.15,-2.69
581,10,33,12,-2.44,2.15,-2.69
582,10,33,13,-2.94,2.15,-3.70
583,10,33,14,-2.90,1.60,-3.75
584,10,34,7,-1.15,1.77,-4.65
585,10,34,8,-0.78,1.70,-6.45
586,10,34,9,-0.78,1.70,-6.45
587,10,34,10,-1.80,2.11,-3.30
588,10,34,11,-1.80,2.11,-3.30
589,10,34,12,-3.33,1.82,-3.24
590,10,34,13,-3.33,1.82,-3.24
591,10,34,14,-2.90,1.60,-3.75
592,10,35,7,-1.15,1.77,-4.65
593,10,35,8,-1.15,1.77,-4.65
594,10,35,9,-1.15,1.77,-4.65
595,10,35,10,-2.82,1.82,-2.45
596,10,35,11,-2.82,1.82,-2.45
597,10,35,12,-3.33,1.82,-3.24
598,10,35,13,-2.90,1.60,-3.75
599,10,35,14,-2.90,1.60,-3.75
600,10,36,7,-1.15,1.77,-4.65
601,10,36,8,-1.15,1.77,-4.65
602,10,36,9,-1.79,1.69,-3.31
603,10,36,10,-2.86,1.84,-2.43
604,10,36,11,-2.86,1.84,-2.43
605,10,36,12,-2.93,1.62,-3.71
606,10,36,13,-2.93,1.62,-3.71
607,10,36,14,-2.93,1.62,-3.71
608,10,37,7,-1.79,1.69,-3.31
609,10,37,8,-1.79,1.69,-3.31
610,10,37,9,-2.92,1.86,-2.40
611,10,37,10,-2.92,1.86,-2.40
612,10,37,11,-2.49,1.65,-2.65
613,10,37,12,-2.99,1.65,-3.62
614,10,37,13,-2.99,1.65,-3.62
615,10,37,14,-3.93,1.97,-7.31
616,10,38,7,-1.79,1.69,-3.31
617,10,38,8,-1.79,1.69,-3.31
618,10,38,9,-3.00,1.90,-2.37
619,10,38,10,-2.55,1.68,-2.61
620,10,38,11,-2.55,1.68,-2.61
621,10,38,12,-3.05,1.68,-3.55
622,10,38,13,-3.05,1.68,-3.55
623,10,38,14,-3.57,1.79,-4.51
624,10,39,7,-1.37,1.49,-4.04
625,10,39,8,-1.37,1.49,-4.04
626,10,39,9,-2.70,1.75,-2.52
627,10,39,10,-2.70,1.75,-2.52
628,10,39,11,-2.70,1.75,-2.52
629,10,39,12,-3.20,1.75,-3.37
