,fast_base,slow_base,min_period_fast,max_period_fast,min_period_slow,max_period_slow,return,dd,sharpe
308,5,21,3,15,10,40,33.65,12.56,0.52
309,5,21,3,15,10,45,33.32,12.94,0.54
310,5,21,3,20,10,25,47.07,8.14,0.63
311,5,21,3,20,10,30,42.97,9.66,0.57
312,5,21,3,20,10,35,45.63,10.15,0.61
313,5,21,3,20,10,40,38.03,11.26,0.60
314,5,21,3,20,10,45,37.68,11.62,0.63
315,5,21,3,25,10,25,71.96,6.69,0.80
316,5,21,3,25,10,30,80.38,8.06,0.80
317,5,21,3,25,10,35,83.65,8.87,0.84
318,5,21,3,25,10,40,40.63,9.59,0.77
319,5,21,3,25,10,45,38.55,10.20,0.81
320,5,21,3,10,15,25,56.66,6.10,0.80
321,5,21,3,10,15,30,52.77,8.47,0.74
322,5,21,3,10,15,35,53.10,9.83,0.74
323,5,21,3,10,15,40,43.39,10.94,0.72
324,5,21,3,10,15,45,32.91,11.73,0.53
325,5,21,3,15,15,25,42.93,9.62,0.57
326,5,21,3,15,15,30,40.46,11.38,0.53
327,5,21,3,15,15,35,43.11,11.84,0.58
328,5,21,3,15,15,40,35.62,12.92,0.56
329,5,21,3,15,15,45,26.78,13.30,0.41
330,5,21,3,20,15,25,48.43,8.16,0.65
331,5,21,3,20,15,30,45.29,10.05,0.60
332,5,21,3,20,15,35,47.98,10.54,0.65
333,5,21,3,20,15,40,40.14,11.63,0.64
334,5,21,3,20,15,45,30.93,11.99,0.49
335,5,21,3,25,15,25,72.35,6.61,0.80
336,5,21,3,25,15,30,82.15,8.50,0.82
337,5,21,3,25,15,35,85.44,9.30,0.86
338,5,21,3,25,15,40,42.00,10.03,0.81
339,5,21,3,25,15,45,29.79,10.64,0.55
340,5,21,3,10,20,25,56.93,6.08,0.79
341,5,21,3,10,20,30,52.92,8.37,0.73
342,5,21,3,10,20,35,53.26,9.77,0.74
343,5,21,3,10,20,40,35.23,10.86,0.55
344,5,21,3,10,20,45,32.76,11.66,0.53
345,5,21,3,15,20,25,43.19,9.61,0.57
346,5,21,3,15,20,30,40.54,11.30,0.53
347,5,21,3,15,20,35,43.24,11.77,0.57
348,5,21,3,15,20,40,27.94,12.85,0.42
349,5,21,3,15,20,45,26.63,13.23,0.41
350,5,21,3,20,20,25,48.14,8.14,0.64
351,5,21,3,20,20,30,45.63,9.97,0.60
352,5,21,3,20,20,35,48.32,10.45,0.64
353,5,21,3,20,20,40,32.16,11.55,0.49
354,5,21,3,20,20,45,30.78,11.92,0.48
355,5,21,3,25,20,25,72.10,6.67,0.80
356,5,21,3,25,20,30,82.15,8.50,0.82
357,5,21,3,25,20,35,85.44,9.30,0.86
358,5,21,3,25,20,40,32.97,10.03,0.57
359,5,21,3,25,20,45,29.79,10.63,0.55
360,5,21,4,10,10,25,44.09,8.92,0.59
361,5,21,4,10,10,30,40.47,10.29,0.54
362,5,21,4,10,10,35,43.05,10.77,0.58
363,5,21,4,10,10,40,35.80,11.84,0.56
364,5,21,4,10,10,45,35.49,12.23,0.58
365,5,21,4,15,10,25,45.69,8.38,0.61
